cityname,cityshortname,citypinyin,cityshortpinyin,cityareaname,cityareashortname,provincename,provinceshortname
泾县,泾县,jingxian,jingxian,宣城市,宣城市,安徽,安徽
营山县,营山,yingshanxian,yingshan,南充市,南充市,四川,四川
榕江县,榕江,rongjiangxian,rongjiang,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
新乡县,新乡,xinxiangxian,xinxiang,新乡市,新乡市,河南,河南
会同县,会同,huitongxian,huitong,怀化市,怀化市,湖南,湖南
贡嘎县,贡嘎,gonggaxian,gongga,山南市,山南市,西藏,西藏
和田县,和田,hetianxian,hetian,和田地区,和田,新疆,新疆
彭水苗族土家族自治县,彭水苗族土家族,pengshuimiaozutujiazuzizhixian,pengshuimiaozutujiazu,重庆市,重庆市,重庆,重庆
永顺县,永顺,yongshunxian,yongshun,湘西土家族苗族自治州,湘西土家族苗族自治州,湖南,湖南
印江县,印江,yinjiangxian,yinjiang,铜仁市,铜仁,贵州,贵州
余姚市,余姚,yuyaoshi,yuyao,宁波市,宁波市,浙江,浙江
朗县,朗县,langxian,langxian,林芝市,林芝市,西藏,西藏
铁力市,铁力,tielishi,tieli,伊春市,伊春市,黑龙江,黑龙江
藤县,藤县,tengxian,tengxian,梧州市,梧州市,广西,广西
新宁县,新宁,xinningxian,xinning,邵阳市,邵阳市,湖南,湖南
南县,南县,nanxian,nanxian,益阳市,益阳市,湖南,湖南
淳安县,淳安,chunanxian,chunan,杭州市,杭州市,浙江,浙江
红河县,红河,honghexian,honghe,红河哈尼族彝族自治州,红河哈尼族彝族自治州,云南,云南
黄平县,黄平,huangpingxian,huangping,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
德格县,德格,degexian,dege,甘孜藏族自治州,甘孜藏族自治州,四川,四川
丹江口市,丹江口,danjiangkoushi,danjiangkou,十堰市,十堰市,湖北,湖北
浪卡子县,浪卡子,langkazixian,langkazi,山南市,山南市,西藏,西藏
博白县,博白,bobaixian,bobai,玉林市,玉林市,广西,广西
田林县,田林,tianlinxian,tianlin,百色市,百色市,广西,广西
酉阳土家族苗族自治县,酉阳土家族苗族,youyangtujiazumiaozuzizhixian,youyangtujiazumiaozu,重庆市,重庆市,重庆,重庆
错那县,错那,cuonaxian,cuona,山南市,山南市,西藏,西藏
容县,容县,rongxian,rongxian,玉林市,玉林市,广西,广西
振兴区,振兴,zhenxingqu,zhenxing,丹东市,丹东市,辽宁,辽宁
彭泽县,彭泽,pengzexian,pengze,九江市,九江市,江西,江西
布拖县,布拖,butuoxian,butuo,凉山彝族自治州,凉山彝族自治州,四川,四川
荔波县,荔波,liboxian,libo,黔南布依族苗族自治州,黔南布依族苗族自治州,贵州,贵州
开福区,开福,kaifuqu,kaifu,长沙市,长沙市,湖南,湖南
阳信县,阳信,yangxinxian,yangxin,滨州市,滨州市,山东,山东
江岸区,江岸,jianganqu,jiangan,武汉市,武汉市,湖北,湖北
马边彝族自治县,马边彝族,mabianyizuzizhixian,mabianyizu,乐山市,乐山市,四川,四川
青冈县,青冈,qinggangxian,qinggang,绥化市,绥化市,黑龙江,黑龙江
乐至县,乐至,lezhixian,lezhi,资阳市,资阳市,四川,四川
库车县,库车,kuchexian,kuche,阿克苏地区,阿克苏,新疆,新疆
甘泉县,甘泉,ganquanxian,ganquan,延安市,延安市,陕西,陕西
荣成市,荣成,rongchengshi,rongcheng,威海市,威海市,山东,山东
吉水县,吉水,jishuixian,jishui,吉安市,吉安市,江西,江西
洞口县,洞口,dongkouxian,dongkou,邵阳市,邵阳市,湖南,湖南
纳雍县,纳雍,nayongxian,nayong,毕节市,毕节市,贵州,贵州
海安县,海安,haianxian,haian,南通市,南通市,江苏,江苏
三江侗族自治县,三江侗族,sanjiangdongzuzizhixian,sanjiangdongzu,柳州市,柳州市,广西,广西
老边区,老边,laobianqu,laobian,营口市,营口市,辽宁,辽宁
会泽县,会泽,huizexian,huize,曲靖市,曲靖市,云南,云南
新平彝族傣族自治县,新平彝族傣族,xinpingyizudaizuzizhixian,xinpingyizudaizu,玉溪市,玉溪市,云南,云南
富源县,富源,fuyuanxian,fuyuan,曲靖市,曲靖市,云南,云南
个旧市,个旧,gejiushi,gejiu,红河哈尼族彝族自治州,红河哈尼族彝族自治州,云南,云南
盘县,盘县,panxian,panxian,六盘水市,六盘水市,贵州,贵州
天全县,天全,tianquanxian,tianquan,雅安市,雅安市,四川,四川
开原市,开原,kaiyuanshi,kaiyuan,铁岭市,铁岭市,辽宁,辽宁
肥城市,肥城,feichengshi,feicheng,泰安市,泰安市,山东,山东
汉滨区,汉滨,hanbinqu,hanbin,安康市,安康市,陕西,陕西
红花岗区,红花岗,honghuagangqu,honghuagang,遵义市,遵义市,贵州,贵州
潢川县,潢川,huangchuanxian,huangchuan,信阳市,信阳市,河南,河南
商水县,商水,shangshuixian,shangshui,周口市,周口市,河南,河南
浉河区,浉河,shihequ,shihe,信阳市,信阳市,河南,河南
吐鲁番市,吐鲁番,tulufanshi,tulufan,吐鲁番市,吐鲁番市,新疆,新疆
项城市,项城,xiangchengshi,xiangcheng,周口市,周口市,河南,河南
元谋县,元谋,yuanmouxian,yuanmou,楚雄彝族自治州,楚雄彝族自治州,云南,云南
昌图县,昌图,changtuxian,changtu,铁岭市,铁岭市,辽宁,辽宁
长葛市,长葛,changgeshi,changge,许昌市,许昌市,河南,河南
澄迈县,澄迈,chengmaixian,chengmai,澄迈县,澄迈县,海南,海南
定南县,定南,dingnanxian,dingnan,赣州市,赣州市,江西,江西
合水县,合水,heshuixian,heshui,庆阳市,庆阳市,甘肃,甘肃
沈丘县,沈丘,shenqiuxian,shenqiu,周口市,周口市,河南,河南
松滋市,松滋,songzishi,songzi,荆州市,荆州市,湖北,湖北
武城县,武城,wuchengxian,wucheng,德州市,德州市,山东,山东
淅川县,淅川,xichuanxian,xichuan,南阳市,南阳市,河南,河南
船山区,船山,chuanshanqu,chuanshan,遂宁市,遂宁市,四川,四川
建昌县,建昌,jianchangxian,jianchang,葫芦岛市,葫芦岛市,辽宁,辽宁
辽中区,辽中,liaozhongxian,liaozhong,沈阳市,沈阳市,辽宁,辽宁
勉县,勉县,mianxian,mianxian,汉中市,汉中市,陕西,陕西
滑县,滑县,huaxian,huaxian,安阳市,安阳市,河南,河南
巧家县,巧家,qiaojiaxian,qiaojia,昭通市,昭通市,云南,云南
郊区,郊区,jiaoqu,jiaoqu,长治市,长治市,山西,山西
河口瑶族自治县,河口瑶族,hekouyaozuzizhixian,hekouyaozu,红河哈尼族彝族自治州,红河哈尼族彝族自治州,云南,云南
瓮安县,瓮安,wenganxian,wengan,黔南布依族苗族自治州,黔南布依族苗族自治州,贵州,贵州
托里县,托里,tuolixian,tuoli,塔城地区,塔城,新疆,新疆
迎江区,迎江,yingjiangqu,yingjiang,安庆市,安庆市,安徽,安徽
固阳县,固阳,guyangxian,guyang,包头市,包头市,内蒙古,内蒙古
松山区,松山,songshanqu,songshan,赤峰市,赤峰市,内蒙古,内蒙古
浦东新区,浦东新,pudongxinqu,pudongxin,上海市,上海市,上海,上海
府谷县,府谷,fuguxian,fugu,榆林市,榆林市,陕西,陕西
湘东区,湘东,xiangdongqu,xiangdong,萍乡市,萍乡市,江西,江西
阜南县,阜南,funanxian,funan,阜阳市,阜阳市,安徽,安徽
阆中市,阆中,langzhongshi,langzhong,南充市,南充市,四川,四川
建平县,建平,jianpingxian,jianping,朝阳市,朝阳市,辽宁,辽宁
临西县,临西,linxixian,linxi,邢台市,邢台市,河北,河北
安新县,安新,anxinxian,anxin,保定市,保定市,河北,河北
阜新蒙古族自治县,阜新蒙古族,fuxinmengguzuzizhixian,fuxinmengguzu,阜新市,阜新市,辽宁,辽宁
驿城区,驿城,yichengqu,yicheng,驻马店市,驻马店市,河南,河南
东宁市,东宁,dongningxian,dongning,牡丹江市,牡丹江市,黑龙江,黑龙江
东平县,东平,dongpingxian,dongping,泰安市,泰安市,山东,山东
安达市,安达,andashi,anda,绥化市,绥化市,黑龙江,黑龙江
东洲区,东洲,dongzhouqu,dongzhou,抚顺市,抚顺市,辽宁,辽宁
拜城县,拜城,baichengxian,baicheng,阿克苏地区,阿克苏,新疆,新疆
中山区,中山,zhongshanqu,zhongshan,大连市,大连市,辽宁,辽宁
瓦房店市,瓦房店,wafangdianshi,wafangdian,大连市,大连市,辽宁,辽宁
文山壮族苗族自治州,文山,wenshanxian,wenshan,文山壮族苗族自治州,文山壮族苗族自治州,云南,云南
金平苗族瑶族傣族自治县,金平苗族瑶族傣族,jinpingmiaozuyaozudaizuzizhixian,jinpingmiaozuyaozudaizu,红河哈尼族彝族自治州,红河哈尼族彝族自治州,云南,云南
临泉县,临泉,linquanxian,linquan,阜阳市,阜阳市,安徽,安徽
尚志市,尚志,shangzhishi,shangzhi,哈尔滨市,哈尔滨市,黑龙江,黑龙江
石河子市,石河子,shihezishi,shihezi,石河子市,石河子市,新疆,新疆
屯溪区,屯溪,tunxiqu,tunxi,黄山市,黄山市,安徽,安徽
源汇区,源汇,yuanhuiqu,yuanhui,漯河市,漯河市,河南,河南
会理县,会理,huilixian,huili,凉山彝族自治州,凉山彝族自治州,四川,四川
永平县,永平,yongpingxian,yongping,大理白族自治州,大理白族自治州,云南,云南
桦甸市,桦甸,huadianshi,huadian,吉林市,吉林市,吉林,吉林
山丹县,山丹,shandanxian,shandan,张掖市,张掖市,甘肃,甘肃
迎泽区,迎泽,yingzequ,yingze,太原市,太原市,山西,山西
子洲县,子洲,zizhouxian,zizhou,榆林市,榆林市,陕西,陕西
简阳市,简阳,jianyangshi,jianyang,成都市,成都市,四川,四川
汝南县,汝南,runanxian,runan,驻马店市,驻马店市,河南,河南
会宁县,会宁,huiningxian,huining,白银市,白银市,甘肃,甘肃
剑川县,剑川,jianchuanxian,jianchuan,大理白族自治州,大理白族自治州,云南,云南
宣汉县,宣汉,xuanhanxian,xuanhan,达州市,达州市,四川,四川
高坪区,高坪,gaopingqu,gaoping,南充市,南充市,四川,四川
汉台区,汉台,hantaiqu,hantai,汉中市,汉中市,陕西,陕西
雁江区,雁江,yanjiangqu,yanjiang,资阳市,资阳市,四川,四川
会东县,会东,huidongxian,huidong,凉山彝族自治州,凉山彝族自治州,四川,四川
贾汪区,贾汪,jiawangqu,jiawang,徐州市,徐州市,江苏,江苏
讷河市,讷河,neheshi,nehe,齐齐哈尔市,齐齐哈尔市,黑龙江,黑龙江
宁乡县,宁乡,ningxiangxian,ningxiang,长沙市,长沙市,湖南,湖南
龙川县,龙川,longchuanxian,longchuan,河源市,河源市,广东,广东
三台县,三台,santaixian,santai,绵阳市,绵阳市,四川,四川
施甸县,施甸,shidianxian,shidian,保山市,保山市,云南,云南
桐城市,桐城,tongchengshi,tongcheng,安庆市,安庆市,安徽,安徽
富平县,富平,fupingxian,fuping,渭南市,渭南市,陕西,陕西
洛川县,洛川,luochuanxian,luochuan,延安市,延安市,陕西,陕西
颍东区,颍东,yingdongqu,yingdong,阜阳市,阜阳市,安徽,安徽
仪陇县,仪陇,yilongxian,yilong,南充市,南充市,四川,四川
德昌县,德昌,dechangxian,dechang,凉山彝族自治州,凉山彝族自治州,四川,四川
城区,城区,chengqu,chengqu,大同市,大同市,山西,山西
奇台县,奇台,qitaixian,qitai,昌吉回族自治州,昌吉回族自治州,新疆,新疆
嘉祥县,嘉祥,jiaxiangxian,jiaxiang,济宁市,济宁市,山东,山东
沙湾县,沙湾,shawanxian,shawan,塔城地区,塔城,新疆,新疆
石景山区,石景山,shijingshanqu,shijingshan,北京市,北京市,北京,北京
浦口区,浦口,pukouqu,pukou,南京市,南京市,江苏,江苏
大同区,大同,datongqu,datong,大庆市,大庆市,黑龙江,黑龙江
清涧县,清涧,qingjianxian,qingjian,榆林市,榆林市,陕西,陕西
玉门市,玉门,yumenshi,yumen,酒泉市,酒泉市,甘肃,甘肃
吉木萨尔县,吉木萨尔,jimusaerxian,jimusaer,昌吉回族自治州,昌吉回族自治州,新疆,新疆
龙井市,龙井,longjingshi,longjing,延边朝鲜族自治州,延边朝鲜族自治州,吉林,吉林
台江县,台江,taijiangxian,taijiang,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
洪湖市,洪湖,honghushi,honghu,荆州市,荆州市,湖北,湖北
平舆县,平舆,pingyuxian,pingyu,驻马店市,驻马店市,河南,河南
柘城县,柘城,zhechengxian,zhecheng,商丘市,商丘市,河南,河南
西平县,西平,xipingxian,xiping,驻马店市,驻马店市,河南,河南
兴化市,兴化,xinghuashi,xinghua,泰州市,泰州市,江苏,江苏
长宁县,长宁,changningxian,changning,宜宾市,宜宾市,四川,四川
泸水市,泸水,lushuixian,lushui,怒江傈僳族自治州,怒江傈僳族自治州,云南,云南
围场满族蒙古族自治县,围场满族蒙古族,weichangmanzumengguzuzizhixian,weichangmanzumengguzu,承德市,承德市,河北,河北
召陵区,召陵,zhaolingqu,zhaoling,漯河市,漯河市,河南,河南
黄浦区,黄浦,huangpuqu,huangpu,上海市,上海市,上海,上海
下陆区,下陆,xialuqu,xialu,黄石市,黄石市,湖北,湖北
平利县,平利,pinglixian,pingli,安康市,安康市,陕西,陕西
潜江市,潜江,qianjiangshi,qianjiang,潜江市,潜江市,湖北,湖北
龙山县,龙山,longshanxian,longshan,湘西土家族苗族自治州,湘西土家族苗族自治州,湖南,湖南
惠济区,惠济,huijiqu,huiji,郑州市,郑州市,河南,河南
南部县,南部,nanbuxian,nanbu,南充市,南充市,四川,四川
桥东区,桥东,qiaodongqu,qiaodong,张家口市,张家口市,河北,河北
民权县,民权,minquanxian,minquan,商丘市,商丘市,河南,河南
喀喇沁左翼蒙古族自治县,喀喇沁左翼蒙古族,kalaqinzuoyimengguzuzizhixian,kalaqinzuoyimengguzu,朝阳市,朝阳市,辽宁,辽宁
钟山区,钟山,zhongshanqu,zhongshan,六盘水市,六盘水市,贵州,贵州
泰和县,泰和,taihexian,taihe,吉安市,吉安市,江西,江西
小金县,小金,xiaojinxian,xiaojin,阿坝藏族羌族自治州,阿坝藏族羌族自治州,四川,四川
偏关县,偏关,pianguanxian,pianguan,忻州市,忻州市,山西,山西
鱼台县,鱼台,yutaixian,yutai,济宁市,济宁市,山东,山东
蒙自市,蒙自,mengzixian,mengzi,红河哈尼族彝族自治州,红河哈尼族彝族自治州,云南,云南
金阳县,金阳,jinyangxian,jinyang,凉山彝族自治州,凉山彝族自治州,四川,四川
东昌区,东昌,dongchangqu,dongchang,通化市,通化市,吉林,吉林
淮阴区,淮阴,huaiyinqu,huaiyin,淮安市,淮安市,江苏,江苏
临清市,临清,linqingshi,linqing,聊城市,聊城市,山东,山东
太康县,太康,taikangxian,taikang,周口市,周口市,河南,河南
铜陵市,铜陵,tonglingxian,tongling,"铜陵市 ","铜陵市 ",安徽,安徽
枞阳县,枞阳,congyangxian,congyang,铜陵市,铜陵市,安徽,安徽
莲都区,莲都,liandouqu,liandou,丽水市,丽水市,浙江,浙江
城固县,城固,chengguxian,chenggu,汉中市,汉中市,陕西,陕西
镇平县,镇平,zhenpingxian,zhenping,南阳市,南阳市,河南,河南
丰润区,丰润,fengrunqu,fengrun,唐山市,唐山市,河北,河北
洪泽区,洪泽,hongzexian,hongze,淮安市,淮安市,江苏,江苏
和县,和县,hexian,hexian,马鞍山市,马鞍山市,安徽,安徽
卧龙区,卧龙,wolongqu,wolong,南阳市,南阳市,河南,河南
户县,户县,huxian,huxian,西安市,西安市,陕西,陕西
莒南县,莒南,junanxian,junan,临沂市,临沂市,山东,山东
滦平县,滦平,luanpingxian,luanping,承德市,承德市,河北,河北
肇东市,肇东,zhaodongshi,zhaodong,绥化市,绥化市,黑龙江,黑龙江
广饶县,广饶,guangraoxian,guangrao,东营市,东营市,山东,山东
乐亭县,乐亭,letingxian,leting,唐山市,唐山市,河北,河北
绥宁县,绥宁,suiningxian,suining,邵阳市,邵阳市,湖南,湖南
青川县,青川,qingchuanxian,qingchuan,广元市,广元市,四川,四川
新龙县,新龙,xinlongxian,xinlong,甘孜藏族自治州,甘孜藏族自治州,四川,四川
安化县,安化,anhuaxian,anhua,益阳市,益阳市,湖南,湖南
南江县,南江,nanjiangxian,nanjiang,巴中市,巴中市,四川,四川
开远市,开远,kaiyuanshi,kaiyuan,红河哈尼族彝族自治州,红河哈尼族彝族自治州,云南,云南
曲沃县,曲沃,quwoxian,quwo,临汾市,临汾市,山西,山西
乐清市,乐清,leqingshi,leqing,温州市,温州市,浙江,浙江
高要区,高要,gaoyaoshi,gaoyao,肇庆市,肇庆市,广东,广东
顺德区,顺德,shundequ,shunde,佛山市,佛山市,广东,广东
荣县,荣县,rongxian,rongxian,自贡市,自贡市,四川,四川
崇义县,崇义,chongyixian,chongyi,赣州市,赣州市,江西,江西
峨眉山市,峨眉山,emeishanshi,emeishan,乐山市,乐山市,四川,四川
宣威市,宣威,xuanweishi,xuanwei,曲靖市,曲靖市,云南,云南
鄱阳县,鄱阳,poyangxian,poyang,上饶市,上饶市,江西,江西
南安市,南安,nananshi,nanan,泉州市,泉州市,福建,福建
道县,道县,daoxian,daoxian,永州市,永州市,湖南,湖南
乐平市,乐平,lepingshi,leping,景德镇市,景德镇市,江西,江西
鲁甸县,鲁甸,ludianxian,ludian,昭通市,昭通市,云南,云南
霞山区,霞山,xiashanqu,xiashan,湛江市,湛江市,广东,广东
新建区,新建,xinjianxian,xinjian,南昌市,南昌市,江西,江西
城东区,城东,chengdongqu,chengdong,西宁市,西宁市,青海,青海
普兰店区,普兰店,pulandianshi,pulandian,大连市,大连市,辽宁,辽宁
正安县,正安,zhenganxian,zhengan,遵义市,遵义市,贵州,贵州
龙胜各族自治县,龙胜各族,longshenggezuzizhixian,longshenggezu,桂林市,桂林市,广西,广西
昭阳区,昭阳,zhaoyangqu,zhaoyang,昭通市,昭通市,云南,云南
浦北县,浦北,pubeixian,pubei,钦州市,钦州市,广西,广西
遂溪县,遂溪,suixixian,suixi,湛江市,湛江市,广东,广东
茌平县,茌平,chipingxian,chiping,聊城市,聊城市,山东,山东
临安市,临安,linanshi,linan,杭州市,杭州市,浙江,浙江
平坝区,平坝,pingbaxian,pingba,安顺市,安顺市,贵州,贵州
三水区,三水,sanshuiqu,sanshui,佛山市,佛山市,广东,广东
昔阳县,昔阳,xiyangxian,xiyang,晋中市,晋中市,山西,山西
娄星区,娄星,louxingqu,louxing,娄底市,娄底市,湖南,湖南
巢湖,巢湖,chaohu,chaohu,合肥市,合肥市,安徽,安徽
越西县,越西,yuexixian,yuexi,凉山彝族自治州,凉山彝族自治州,四川,四川
南涧彝族自治县,南涧彝族,nanjianyizuzizhixian,nanjianyizu,大理白族自治州,大理白族自治州,云南,云南
双城区,双城,shuangchengshi,shuangcheng,哈尔滨市,哈尔滨市,黑龙江,黑龙江
市中区,市中,shizhongqu,shizhong,乐山市,乐山市,四川,四川
朝阳区,朝阳,chaoyangqu,chaoyang,长春市,长春市,吉林,吉林
遵义市,遵义,zunyixian,zunyi,遵义市,遵义市,贵州,贵州
武胜县,武胜,wushengxian,wusheng,广安市,广安市,四川,四川
大安市,大安,daanshi,daan,白城市,白城市,吉林,吉林
献县,献县,xianxian,xianxian,沧州市,沧州市,河北,河北
略阳县,略阳,lueyangxian,lueyang,汉中市,汉中市,陕西,陕西
夷陵区,夷陵,yilingqu,yiling,宜昌市,宜昌市,湖北,湖北
玛纳斯县,玛纳斯,manasixian,manasi,昌吉回族自治州,昌吉回族自治州,新疆,新疆
蒙城县,蒙城,mengchengxian,mengcheng,亳州市,亳州市,安徽,安徽
望谟县,望谟,wangmoxian,wangmo,黔西南布依族苗族自治州,黔西南布依族苗族自治州,贵州,贵州
喜德县,喜德,xidexian,xide,凉山彝族自治州,凉山彝族自治州,四川,四川
市中区,市中,shizhongqu,shizhong,内江市,内江市,四川,四川
安州区,安州,anzhouqu,anzhou,绵阳市,绵阳市,四川,四川
海伦市,海伦,hailunshi,hailun,绥化市,绥化市,黑龙江,黑龙江
松北区,松北,songbeiqu,songbei,哈尔滨市,哈尔滨市,黑龙江,黑龙江
同江市,同江,tongjiangshi,tongjiang,佳木斯市,佳木斯市,黑龙江,黑龙江
筠连县,筠连,junlianxian,junlian,宜宾市,宜宾市,四川,四川
张家港市,张家港,zhangjiagangshi,zhangjiagang,苏州市,苏州市,江苏,江苏
肇州县,肇州,zhaozhouxian,zhaozhou,大庆市,大庆市,黑龙江,黑龙江
瑞昌市,瑞昌,ruichangshi,ruichang,九江市,九江市,江西,江西
浈江区,浈江,zhenjiangqu,zhenjiang,韶关市,韶关市,广东,广东
美姑县,美姑,meiguxian,meigu,凉山彝族自治州,凉山彝族自治州,四川,四川
汝阳县,汝阳,ruyangxian,ruyang,洛阳市,洛阳市,河南,河南
浮梁县,浮梁,fuliangxian,fuliang,景德镇市,景德镇市,江西,江西
睢阳区,睢阳,suiyangqu,suiyang,商丘市,商丘市,河南,河南
峨边彝族自治县,峨边彝族,ebianyizuzizhixian,ebianyizu,乐山市,乐山市,四川,四川
金川县,金川,jinchuanxian,jinchuan,阿坝藏族羌族自治州,阿坝藏族羌族自治州,四川,四川
合作市,合作,hezuoshi,hezuo,甘南藏族自治州,甘南藏族自治州,甘肃,甘肃
新兴县,新兴,xinxingxian,xinxing,云浮市,云浮市,广东,广东
礼县,礼县,lixian,lixian,陇南市,陇南市,甘肃,甘肃
怀宁县,怀宁,huainingxian,huaining,安庆市,安庆市,安徽,安徽
雷州市,雷州,leizhoushi,leizhou,湛江市,湛江市,广东,广东
望江县,望江,wangjiangxian,wangjiang,安庆市,安庆市,安徽,安徽
延长县,延长,yanchangxian,yanchang,延安市,延安市,陕西,陕西
白水县,白水,baishuixian,baishui,渭南市,渭南市,陕西,陕西
株洲县,株洲,zhuzhouxian,zhuzhou,株洲市,株洲市,湖南,湖南
静宁县,静宁,jingningxian,jingning,平凉市,平凉市,甘肃,甘肃
德清县,德清,deqingxian,deqing,湖州市,湖州市,浙江,浙江
黎平县,黎平,lipingxian,liping,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
天台县,天台,tiantaixian,tiantai,台州市,台州市,浙江,浙江
德化县,德化,dehuaxian,dehua,泉州市,泉州市,福建,福建
望城区,望城,wangchengqu,wangcheng,长沙市,长沙市,湖南,湖南
靖安县,靖安,jinganxian,jingan,宜春市,宜春市,江西,江西
鼎城区,鼎城,dingchengqu,dingcheng,常德市,常德市,湖南,湖南
澧县,澧县,lixian,lixian,常德市,常德市,湖南,湖南
安陆市,安陆,anlushi,anlu,孝感市,孝感市,湖北,湖北
来安县,来安,laianxian,laian,滁州市,滁州市,安徽,安徽
宜城市,宜城,yichengshi,yicheng,襄阳市,襄阳市,湖北,湖北
夏津县,夏津,xiajinxian,xiajin,德州市,德州市,山东,山东
英山县,英山,yingshanxian,yingshan,黄冈市,黄冈市,湖北,湖北
临县,临县,linxian,linxian,吕梁市,吕梁市,山西,山西
澄城县,澄城,chengchengxian,chengcheng,渭南市,渭南市,陕西,陕西
潮南区,潮南,chaonanqu,chaonan,汕头市,汕头市,广东,广东
横山区,横山,hengshanxian,hengshan,榆林市,榆林市,陕西,陕西
定安县,定安,dinganxian,dingan,定安县,定安县,海南,海南
桂阳县,桂阳,guiyangxian,guiyang,郴州市,郴州市,湖南,湖南
贵溪市,贵溪,guixishi,guixi,鹰潭市,鹰潭市,江西,江西
宜君县,宜君,yijunxian,yijun,铜川市,铜川市,陕西,陕西
正阳县,正阳,zhengyangxian,zhengyang,驻马店市,驻马店市,河南,河南
滦县,滦县,luanxian,luanxian,唐山市,唐山市,河北,河北
安阳县,安阳,anyangxian,anyang,安阳市,安阳市,河南,河南
汨罗市,汨罗,miluoshi,miluo,岳阳市,岳阳市,湖南,湖南
类乌齐县,类乌齐,leiwuqixian,leiwuqi,昌都市,昌都市,西藏,西藏
北川羌族自治县,北川羌族,beichuanqiangzuzizhixian,beichuanqiangzu,绵阳市,绵阳市,四川,四川
竹山县,竹山,zhushanxian,zhushan,十堰市,十堰市,湖北,湖北
加查县,加查,jiachaxian,jiacha,山南市,山南市,西藏,西藏
德令哈市,德令哈,delinghashi,delingha,海西蒙古族藏族自治州,海西蒙古族藏族自治州,青海,青海
谷城县,谷城,guchengxian,gucheng,襄阳市,襄阳市,湖北,湖北
邻水县,邻水,linshuixian,linshui,广安市,广安市,四川,四川
绛县,绛县,jiangxian,jiangxian,运城市,运城市,山西,山西
泸定县,泸定,ludingxian,luding,甘孜藏族自治州,甘孜藏族自治州,四川,四川
南川区,南川,nanchuanqu,nanchuan,重庆市,重庆市,重庆,重庆
冷水江市,冷水江,lengshuijiangshi,lengshuijiang,娄底市,娄底市,湖南,湖南
新田县,新田,xintianxian,xintian,永州市,永州市,湖南,湖南
