zstate1,zcity3
hunan,tongdao dongzu aut county
henan,wenfeng district
shanghai,minhang district
liaoning,fuxin mongolzu aut county
zhejiang,yinzhou district
hebei,yu county
shanghai,shanghai
yunnan,luchuan yizu miaozu aut county
inner mongolia,qahar youyi houqi
guangdong,longxian town
henan,longan district
guangdong,nanji
yunnan,mile city
beijing,No Data
hunan,chengbu miaozu aut county
yunnan,yaoan county
henan,luolong district
hainan,qiongzhong lizu miaozu aut county
shaanxi,weiyang district
hainan,tianya district
zhejiang,lanxi
hebei,xiangdu district
guangdong,baoan district
hubei,chengqu district
beijing,haidian neighborhood
yunnan,ninglang yizu aut county
xinjiang uygur,lop county
fujian,changtai district
shaanxi,xi an
shanghai,changning district
beijing,haidian district
hebei,congtai district
chongqing,yangjiaping
shaanxi,guodu town
jiangxi,wan an
jiangsu,chongchuan district
qinghai,xunhua salarzu aut county
beijing,tong xian
zhejiang,shangyu district
yunnan,jinggu daizu yizu aut county
guangdong,guangzhou
shanghai,xuhui district
yunnan,fuyuan
inner mongolia,ejin qi
anhui,jin an district
shanghai,pudong
sichuan,xi district
zhejiang,jingning she autonomous county
jiangsu,jiashan county
fujian,fuzhou
jiangxi,xiongshi
shaanxi,luonan
yunnan,xiaodongshan
jiangsu,hailing district
yunnan,ninger hanizu yizu aut county
sichuan,jiuzhaigou county
jiangsu,yangzhou
zhejiang,puyuan town
guizhou,yanhe tujiazu aut county
liaoning,gaixian
gansu,lanzhou
hunan,wenxing subdistrict
shaanxi,lüeyang
inner mongolia,hanggin houqi
guangxi zhuang,nanning
shandong,wenquan subdistrict
fujian,siming district
jiangsu,wuzhong district
anhui,guichi district
liaoning,huanren manchu autonomous county
gansu,wen county
hubei,wuchang district
guangxi zhuang,xiufeng district
shaanxi,beilin district
shaanxi,zhen an county
jilin,qian gorlos mongolzu aut county
inner mongolia,dorbod qi
jiangsu,shuangta district
hebei,chaigoubu
yunnan,gengma daizu vazu aut county
shandong,zhangdian district
hebei,xugezhuang
henan,xiangcheng city
sichuan,shiyang town
beijing,fengtai subdistrict
hunan,chenjia
heilongjiang,nangang district
inner mongolia,qahar youyi qianqi
tianjin,wanghailou subdistrict
jiangsu,jiangyin
jilin,xi an district
anhui,baohe district
beijing,sanlitun
jiangsu,wujiang district
heilongjiang,yilan town
shandong,nanshihuiyao
inner mongolia,ewenkizu zizhiqi
heilongjiang,qike town
tibet,gar county
shanxi,anyi neighborhood
inner mongolia,uxin qi
tianjin,No Data
qinghai,huzhu tu autonomous county
shandong,huancui district
inner mongolia,horqin zuoyi houqi
guangxi zhuang,du an yaozu aut county
tianjin,liulin
xinjiang uygur,burqin county
jiangsu,dazhong neighborhood
hubei,daye
xinjiang uygur,tacheng prefecture
tibet,nêdong district
liaoning,shenyang
jiangsu,jiangyan district
hubei,enshi city
hubei,hongshan district
inner mongolia,sonid youqi
hunan,lusong district
inner mongolia,altan xire
guizhou,chishui city
liaoning,jinzhou district
heilongjiang,xi an district
anhui,si county
xinjiang uygur,kunyu
tianjin,dawangzhuang subdistrict
inner mongolia,xi ujimqin qi
heilongjiang,mingshui
shandong,lincheng neighborhood
jiangsu,nanjing
inner mongolia,horqin youyi zhongqi
liaoning,ganjingzi district
tibet,chanang county
jiangsu,xinwu district
zhejiang,yuyao
liaoning,dalian
qinghai,qabqa
sichuan,emeishan city
shaanxi,wayaobu subdistrict
jiangsu,jingjiang
shanghai,baoshan district
jiangsu,huaian district
xinjiang uygur,yiwu
hainan,baoting li and miao autonomous county
gansu,dongxiangzu aut county
liaoning,liaobin
shandong,lixia district
inner mongolia,bayan hot
xinjiang uygur,korgas
jiangsu,qixia district
hubei,pengshizha
shandong,feixian county
gansu,linxia
guangdong,futian district
shandong,xiangyang subdistrict
xinjiang uygur,akto county
hebei,guangyang district
shanghai,tangzhen town
hebei,fengning manzu aut county
henan,qi county
zhejiang,dinghai
beijing,chaowai subdistrict
inner mongolia,urad houqi
hunan,furong district
fujian,yong an
hebei,renze district
inner mongolia,horqin youyi qianqi
chongqing,jiangbei district
shaanxi,yang county
inner mongolia,urad zhongqi
jiangxi,shangdundu town
guangdong,pingdixu
tibet,samzhubzê district
inner mongolia,ejin horo banner
gansu,ning county
hebei,dacheng county
guangxi zhuang,longlin various nationalities autonomous
qinghai,datong huizu tuzu aut county
xinjiang uygur,altay prefecture
shanxi,shangdang district
shanxi,gu county
liaoning,shenhe district
jiangxi,nanchang
inner mongolia,hohhot
fujian,fu an
xinjiang uygur,qapqal xibe autonomous county
hebei,yuhua district
guangxi zhuang,qingxiu district
hebei,jingxing mining district
hebei,chang an district
shaanxi,ejin horo banner
hunan,dongan county
xinjiang uygur,tianshan district
beijing,dongcheng district
jiangxi,jinggangshan city
hubei,echeng district
jiangxi,nanfeng
tianjin,zhangguizhuang subdistrict
shandong,cao county
xinjiang uygur,ürümqi county
jiangxi,guangxin district
fujian,nan an
sichuan,sêrxü county
yunnan,xinping yizu daizu aut county
liaoning,dengta
anhui,jing county
gansu,chengguan district
inner mongolia,naiman banner
guangxi zhuang,dahua yaozu aut county
shandong,tancheng town
zhejiang,hangzhou
sichuan,wuhou district
jilin,erdao district
beijing,xingfeng subdistrict
tianjin,xiyuzhuang subdistrict
henan,wen county
chongqing,xiushan tujia and miao autonomous county
shaanxi,yanta district
hainan,longhua district
hebei,dachang hui autonomous county
heilongjiang,suiling county
tibet,xigazê
liaoning,huanren manzu aut county
inner mongolia,togtoh
inner mongolia,urad front banner
sichuan,barkam
guangdong,gaoyao district
tibet,qüxü county
jiangsu,lishui
inner mongolia,hondlon district
anhui,dangcheng town
guangxi zhuang,xixiangtang district
xinjiang uygur,barkol
xinjiang uygur,hoxud
hebei,jing county
anhui,yu an district
xinjiang uygur,qira county
hebei,yunhe district
guangxi zhuang,rong county
gansu,bairi tibetan autonomous county
guizhou,hongguo subdistrict
gansu,zhangjiachuan hui autonomous county
sichuan,dujiangyan city
liaoning,benxi manzu aut county
hubei,huajia
xinjiang uygur,yizhou district
shanxi,qi county
zhejiang,xihu district
xinjiang uygur,xayar
fujian,zhao an county
guizhou,kaili city
shaanxi,yuhuazhai subdistrict
guangdong,puning
tibet,purang county
guangdong,liannan yao autonomous county
liaoning,lüshun
inner mongolia,holin gol
fujian,quanzhou
shanxi,yaomiao town
tibet,baxoi county
anhui,yijiang district
inner mongolia,oroqen zizhiqi
shaanxi,binzhou
yunnan,wujiaying
xinjiang uygur,qinggil county
chongqing,kaizhou district
beijing,shengli subdistrict
jiangsu,suzhou
hebei,langfang
shanxi,taiyuan
jilin,changbai chosenzu aut county
inner mongolia,ergun city
henan,jinshui district
hunan,changsha county
henan,luanchuan county
heilongjiang,yimei district
zhejiang,daishan
heilongjiang,sartu district
beijing,daxing district
guangdong,yantian district
inner mongolia,ud district
tibet,gyirong county
inner mongolia,ar horqin qi
hunan,dao county
fujian,huaan county
shanxi,yunzhou district
yunnan,xishan district
xinjiang uygur,makit county
hebei,fengfeng mining district
anhui,yingshang
henan,xinzheng
liaoning,lüshunkou district
zhejiang,zhoushan
hubei,liufang
tibet,sog county
sichuan,mabian yi autonomous county
guangxi zhuang,haiyang township
guizhou,zheng an county
liaoning,xinbin manchu autonomous county
shanxi,qin county
fujian,jin an district
hainan,changjiang li autonomous county
heilongjiang,acheng
liaoning,heping district
sichuan,chengdu
zhejiang,suoqian town
liaoning,zhanqian district
jilin,chaoyang district
sichuan,beichuan qiang autonomous county
anhui,jiujiang district
shandong,shinan district
shaanxi,xixiang
sichuan,leshan
jiangsu,nantong
tibet,baqên county
xinjiang uygur,yengisar
shanxi,xiaodian district
gansu,aksay kazakzu aut county
yunnan,pu er city
xinjiang uygur,taxkorgan
beijing,nanmofang
shanxi,jiang county
jiangsu,rugao
hubei,wufeng tujiazu aut county
shaanxi,weibin district
shaanxi,baqiao district
shandong,qingfeng county
jilin,shangzhi
guizhou,qianxinan buyei and miao autonomous pref
hubei,laohekou
hebei,yongnian district
gansu,jiuquan
shaanxi,jishan county
guangxi zhuang,guilin
hubei,wujiaxi
sichuan,zamtang county
tianjin,nankai district
shanxi,wanbailin district
shanxi,changzhi
fujian,jianning
beijing,niulanshan
inner mongolia,horqin zuoyi zhongqi
inner mongolia,xiguit district
anhui,jinghu district
shaanxi,wanrong county
yunnan,chuxiong
hebei,gaoyi county
henan,zhengzhou
guangdong,shunde district
jilin,ningjiang district
qinghai,hualong huizu aut county
chongqing,jiulongpo district
shaanxi,sanyuan
shanxi,lishi district
yunnan,dêqên county
xinjiang uygur,huyanghe
gansu,têwo county
hebei,matou
henan,wulongji
hunan,guankou
shaanxi,ruicheng
hebei,haigang district
heilongjiang,jiguan district
inner mongolia,xin barag zuoqi
henan,huixian
beijing,chengbei subdistrict
inner mongolia,qingshan district
xinjiang uygur,akto town
henan,zhongmu county
liaoning,tiefa
hubei,gong an county
shandong,linyi
jiangxi,yijia
xinjiang uygur,toli
hebei,lutai district
henan,luoning county
tibet,gyangzê county
inner mongolia,donghe district
tibet,amdo county
inner mongolia,alxa youqi
shaanxi,chang an district
heilongjiang,gongnong district
guangdong,wukan
jiangxi,qingshanhu district
guangdong,longhua district
jiangsu,huaiyin district
shandong,shen county
hunan,hetang district
hebei,miyun district
guangdong,dongcheng subdistrict
qinghai,maqên county
sichuan,bazhou district
yunnan,mangshi town
shandong,shanghe
henan,yichuan
sichuan,siguniangshan
anhui,shushan district
xinjiang uygur,No Data
gansu,longde
fujian,tancheng neighborhood
hubei,nanhai town
chongqing,ba nan district
inner mongolia,No Data
shandong,weicheng district
hubei,yingshan county
sichuan,xichang
tibet,batang
zhejiang,lubei subdistrict
heilongjiang,xin forested area
jiangsu,wangxiang
shanghai,fengxian district
yunnan,yangbi yi autonomous county
hebei,hengshui
shanghai,buzhen town
henan,xinyan
jiangsu,changshu
qinghai,gangca county
henan,huojia
anhui,dangshan county
hainan,ledong li autonomous county
anhui,tunxi
jilin,No Data
fujian,jingcheng neighborhood
shanghai,qidong
inner mongolia,qahar youyi zhongqi
inner mongolia,dong ujimqin qi
henan,guancheng hui district
beijing,changping district
heilongjiang,wucui district
jiangsu,changzhou
henan,jishui neighborhood
jiangxi,xihu district
inner mongolia,jalainur district
henan,yu an district
inner mongolia,jalaid qi
zhejiang,huangyan
beijing,dawangjing village
hunan,lingling district
hunan,yuelu district
henan,pingdingshan
jiangxi,yingtan
sichuan,maixi township
zhejiang,pailing
yunnan,yao an county
hunan,yizhang
yunnan,panlong district
heilongjiang,wuyun town
xinjiang uygur,xinxing
zhejiang,pan an county
chongqing,hejiang county
ningxia hui,xixia district
shandong,shizhong district
guangdong,pinghuwei
qinghai,da qaidam
shaanxi,qindu district
zhejiang,longwan district
anhui,tianjia an district
qinghai,ulan county
