zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,province_clean,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
shaanxi,ejin horo banner,shaanxi指陕西。ejin horo banner（伊金霍洛旗）实际隶属内蒙古鄂尔多斯市，与当前省份不符，返回原输入并填充区为null。,shaanxi,ejin horo banner,ejin horo banner,null,null,shaanxi非中文返回null，ejin horo banner非中文返回null，ejin horo banner非中文返回null，null非中文返回null，null非中文返回null,null,null,null,null,null,null,,,,,,,
hainan,changjiang li autonomous county,hainan指海南。changjiang li autonomous county为昌江黎族自治县，属于海南省直辖县级单位，无法确定地级市，返回原输入并填充区为null。,海南,changjiang li autonomous county,changjiang li autonomous county,null,null,海南拼音hainan，changjiang li autonomous county非中文返回null，changjiang li autonomous county非中文返回null，null非中文返回null，null非中文返回null,hainan,hainan,null,null,null,null,,,,,,,
beijing,niulanshan,beijing指北京。niulanshan为顺义区牛栏山镇，因镇级单位不属于地级行政区，无法确定有效区划，返回原输入并填充区为null。,北京,niulanshan,niulanshan,null,null,北京拼音beijing，niulanshan非中文返回null，niulanshan非中文返回null，null非中文返回null，null非中文返回null,beijing,beijing,null,null,null,null,,,,,,,
henan,wulongji,henan指河南。wulongji无法匹配有效地级或县级行政区，返回原输入并填充区为null。,河南,wulongji,wulongji,null,null,河南拼音henan，wulongji非中文返回null，wulongji非中文返回null，null非中文返回null，null非中文返回null,henan,henan,null,null,null,null,,,,,,,
hunan,guankou,hunan指湖南。guankou可能为浏阳市关口街道，但街道不属区级单位，无法确定有效区划，返回原输入并填充区为null。,湖南,guankou,guankou,null,null,湖南拼音hunan，guankou非中文返回null，guankou非中文返回null，null非中文返回null，null非中文返回null,hunan,hunan,null,null,null,null,,,,,,,
jiangxi,yijia,jiangxi指江西。yijia无法匹配有效地级或县级行政区，返回原输入并填充区为null。,江西,yijia,yijia,null,null,江西拼音jiangxi，yijia非中文返回null，yijia非中文返回null，null非中文返回null，null非中文返回null,jiangxi,jiangxi,null,null,null,null,,,,,,,
hebei,miyun district,hebei指河北。miyun district（密云区）实际隶属北京市，与当前省份不符，返回原输入并填充区为null。,hebei,miyun district,miyun district,null,null,hebei非中文返回null，miyun district非中文返回null，miyun district非中文返回null，null非中文返回null，null非中文返回null,null,null,null,null,null,null,,,,,,,
xinjiang uygur,No Data,xinjiang uygur指新疆维吾尔自治区，简称新疆。市为No Data无法识别，返回原输入。,新疆,No Data,No Data,null,null,新疆拼音xinjiang，No Data非中文返回null，No Data非中文返回null，null非中文返回null，null非中文返回null,xinjiang,xinjiang,null,null,null,null,,,,,,,
inner mongolia,No Data,inner mongolia指内蒙古自治区，简称内蒙古。市为No Data无法识别，返回原输入。,内蒙古,No Data,No Data,null,null,内蒙古拼音neimenggu，No Data非中文返回null，No Data非中文返回null，null非中文返回null，null非中文返回null,neimenggu,inner mongolia,null,null,null,null,,,,,,,
tibet,batang,tibet指西藏自治区，简称西藏。batang在西藏行政区划中无对应地级行政区，返回原输入。,西藏,batang,batang,null,null,西藏拼音xizang，batang非中文返回null，batang非中文返回null，null非中文返回null，null非中文返回null,xizang,tibet,null,null,null,null,,,,,,,
heilongjiang,xin forested area,heilongjiang指黑龙江。xin forested area无法识别有效行政区名称，返回原输入。,黑龙江,xin forested area,xin forested area,null,null,黑龙江拼音heilongjiang，xin forested area非中文返回null，xin forested area非中文返回null，null非中文返回null，null非中文返回null,heilongjiang,heilongjiang,null,null,null,null,,,,,,,
jilin,No Data,jilin指吉林。市为No Data无法识别，返回原输入。,吉林,No Data,No Data,null,null,吉林拼音jilin，No Data非中文返回null，No Data非中文返回null，null非中文返回null，null非中文返回null,jilin,jilin,null,null,null,null,,,,,,,
shanghai,qidong,shanghai指上海。qidong（启东）实际属于江苏省，不符合直辖市隶属关系，返回原输入。,上海,qidong,qidong,null,null,上海拼音shanghai，qidong非中文返回null，qidong非中文返回null，null非中文返回null，null非中文返回null,shanghai,shanghai,null,null,null,null,,,,,,,
xinjiang uygur,xinxing,xinjiang uygur指新疆维吾尔自治区。xinxing在新疆行政区划中无明确对应地级行政区，返回原输入。,新疆,xinxing,xinxing,null,null,新疆拼音xinjiang，xinxing非中文返回null，xinxing非中文返回null，null非中文返回null，null非中文返回null,xinjiang,xinjiang,null,null,null,null,,,,,,,
chongqing,hejiang county,chongqing指重庆。hejiang county（合江）实际隶属四川省，不符合直辖市隶属关系，返回原输入。,重庆,hejiang county,hejiang county,null,null,重庆拼音chongqing，hejiang county非中文返回null，hejiang county非中文返回null，null非中文返回null，null非中文返回null,chongqing,chongqing,null,null,null,null,,,,,,,
