province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
xinjiang,xinjiang uygur,karamay,xinjiang uygur指新疆维吾尔自治区。karamay指新疆维吾尔自治区的克拉玛依市，克拉玛依市是地级行政区，全称克拉玛依市，简称克拉玛依。输入没有提供地区名，填充为null,新疆维吾尔自治区,克拉玛依市,克拉玛依,null,null,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，克拉玛依市拼音kelamayishi，克拉玛依拼音kelamayi，null非中文返回null，null非中文返回null,xinjiangweiwuerzizhiqu,kelamayishi,kelamayi,null,null,新疆维吾尔自治区,新疆,克拉玛依市,克拉玛依,kelamayishi,Karamay,Xinjiang
henan,henan,hubin district,henan指河南。hubin district指河南三门峡的湖滨区，所属地级行政是三门峡市，全称三门峡市，简称三门峡。湖滨区全称湖滨区，简称湖滨,河南,三门峡市,三门峡,湖滨区,湖滨,河南拼音henan，三门峡市拼音sanmenxiashi，三门峡拼音sanmenxia，湖滨区拼音hubinqu，湖滨拼音hubin,henan,sanmenxiashi,sanmenxia,hubinqu,hubin,河南省,河南,三门峡市,三门峡,sanmenxiashi,Sanmenxia,Henan
shanghai,shanghai,buzhen town,shanghai指上海。buzhen town指上海的堡镇，堡镇隶属于上海市崇明区，所属地级行政是上海市，全称上海市，简称上海。崇明区的全称是崇明区，简称崇明，堡镇填充到区。,上海,上海市,上海,堡镇,堡镇,上海拼音shanghai，上海市拼音shanghaishi，上海拼音shanghai，堡镇拼音baozhen，堡镇拼音baozhen,shanghai,shanghaishi,shanghai,baozhen,baozhen,上海市,上海,上海市,上海,shanghaishi,Shanghai,Shanghai
heilongjiang,heilongjiang,yimei district,heilongjiang指黑龙江。yimei district指黑龙江双鸭山的友谊县的友谊镇（以“yi”开头的县在黑龙江只有友谊县），所属地级行政是双鸭山市，全称双鸭山市，简称双鸭山。友谊镇的全称是友谊县，简称友谊,黑龙江,双鸭山市,双鸭山,友谊县,友谊,黑龙江拼音heilongjiang，双鸭山市拼音shuangyashanshi，双鸭山拼音shuangyashan，友谊县拼音youyixian，友谊拼音youyi,heilongjiang,shuangyashanshi,shuangyashan,youyixian,youyi,黑龙江省,黑龙江,双鸭山市,双鸭山,shuangyashanshi,Shuangyashan,Heilongjiang
jiangsu,jiangsu,jingjiang,jiangsu指江苏。jingjiang指江苏的靖江市，靖江市是县级市，所属地级行政区是泰州市，全称泰州市，简称泰州。靖江市的全称是靖江市，简称靖江，填充到区。,江苏,泰州市,泰州,靖江市,靖江,江苏拼音jiangs u，泰州市拼音taizhoushi，泰州拼音taizhou，靖江市拼音jingjiangshi，靖江拼音jingjiang,jiangs u,taizhoushi,taizhou,jingjiangshi,jingjiang,江苏省,江苏,泰州市,泰州,taizhoushi,Taizhou,Jiangsu
jiangsu,jiangsu,jingjiang,jiangsu指江苏。jingjiang指江苏的靖江市，靖江市是县级市，所属地级行政区是泰州市，全称泰州市，简称泰州。靖江市的全称是靖江市，简称靖江，填充到区。,江苏,泰州市,泰州,靖江市,靖江,江苏拼音jiangs u，泰州市拼音taizhoushi，泰州拼音taizhou，靖江市拼音jingjiangshi，靖江拼音jingjiang,jiangs u,taizhoushi,taizhou,jingjiangshi,jingjiang,浙江省,浙江,台州市,台州,taizhoushi,Taizhou,Zhejiang
shanxi,shaanxi,jishan county,shaanxi指陕西。jishan county指陕西的稷山县，但稷山县隶属于山西运城，陕西的县中以“ji”开头的为“jiyang county（吉阳县）”，所属地级行政区为渭南市，全称渭南市，简称渭南。吉阳县的全称是吉阳县，简称吉阳,陕西,渭南市,渭南,吉阳县,吉阳,陕西拼音shanxi，渭南市拼音weinanshi，渭南拼音weinan，吉阳县拼音jiyangxian，吉阳拼音jiyang,shanxi,weinanshi,weinan,jiyangxian,jiyang,陕西省,陕西,渭南市,渭南,weinanshi,Weinan,Shaanxi
xinjiang,xinjiang uygur,toutunhe district,xinjiang uygur指新疆维吾尔自治区。toutunhe district指新疆的乌鲁木齐市头屯河区，所属地级行政是乌鲁木齐市，全称乌鲁木齐市，简称乌市。头屯河区的全称是头屯河区，简称头屯河，填充到区。,新疆维吾尔自治区,乌鲁木齐市,乌市,头屯河区,头屯河,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，乌鲁木齐市拼音wulumuqishi，乌市拼音wushi，头屯河区拼音toutunhequ，头屯河拼音toutunhe,xinjiangweiwuerzizhiqu,wulumuqishi,wushi,toutunhequ,toutunhe,新疆维吾尔自治区,新疆,乌鲁木齐市,乌鲁木齐,wulumuqishi,Urumqi,Xinjiang
shanxi,shaanxi,binzhou,shaanxi指陕西。binzhou指陕西的彬州市，彬州市是县级市，所属地级行政区是咸阳市，全称咸阳市，简称咸阳。彬州市的全称是彬州市，简称彬州，填充到区。,陕西,咸阳市,咸阳,彬州市,彬州,陕西拼音shanxi，咸阳市拼音xianyangshi，咸阳拼音xianyang，彬州市拼音binzhoushi，彬州拼音binzhou,shanxi,xianyangshi,xianyang,binzhoushi,binzhou,陕西省,陕西,咸阳市,咸阳,xianyangshi,Xianyang,Shaanxi
xinjiang,xinjiang uygur,kuytun,xinjiang uygur指新疆维吾尔自治区。kuytun指新疆维吾尔自治区的奎屯市，奎屯市是县级市，所属地级行政区是伊犁哈萨克自治州，全称伊犁哈萨克自治州，简称伊犁。奎屯市全称奎屯市，简称奎屯，填充到区,新疆维吾尔自治区,伊犁哈萨克自治州,伊犁,奎屯市,奎屯,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，伊犁哈萨克自治州拼音yilihasakezizhizhou，伊犁拼音yili，奎屯市拼音kuitunshi，奎屯拼音kuitun,xinjiangweiwuerzizhiqu,yilihasakezizhizhou,yili,kuitunshi,kuitun,新疆维吾尔自治区,新疆,伊犁哈萨克自治州,伊犁,yilihasakezizhizhou,Ili,Xinjiang
shanxi,shanxi,luzhou district,shanxi指山西。luzhou district指山西运城的盐湖区，所属地级行政是运城市，全称运城市，简称运城。盐湖区全称盐湖区，简称盐湖,山西,运城市,运城,盐湖区,盐湖,山西拼音shanxi，运城市拼音yunchengshi，运城拼音yuncheng，盐湖区拼音yanhuqu，盐湖拼音yanhu,shanxi,yunchengshi,yuncheng,yanhuqu,yanhu,山西省,山西,运城市,运城,yunchengshi,Yuncheng,Shanxi
shanxi,shaanxi,wanrong county,shaanxi指陕西。wanrong county指陕西运城的万荣县，所属地级行政是运城市，全称运城市，简称运城。万荣县全称万荣县，简称万荣，填充到区。,陕西,运城市,运城,万荣县,万荣,陕西拼音shanxi，运城市拼音yunchengshi，运城拼音yuncheng，万荣县拼音wanrongxian，万荣拼音wanrong,shanxi,yunchengshi,yuncheng,wanrongxian,wanrong,山西省,山西,运城市,运城,yunchengshi,Yuncheng,Shanxi
chongqing,chongqing,ba nan district,chongqing指重庆。ba nan district指重庆的巴南区，所属地级行政是重庆市，全称重庆市，简称重庆。巴南区全称巴南区，简称巴南,重庆,重庆市,重庆,巴南区,巴南,重庆拼音chongqing，重庆市拼音chongqingshi，重庆拼音chongqing，巴南区拼音bananqu，巴南拼音banan,chongqing,chongqingshi,chongqing,bananqu,banan,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing
