zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,province_clean,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin,11
gansu,zhang county,gansu是指甘肃。zhang county指甘肃的漳县，漳县是县级行政区，所属地级行政区是定西市，全称定西市，简称定西。漳县的全称是漳县，简称漳县，填充到区。,甘肃,定西市,定西,漳县,漳县,甘肃拼音gansu，定西市拼音dingxishi，定西拼音dingxi，漳县拼音zhangxian，漳县拼音zhangxian,gansu,gansu,dingxishi,dingxi,zhangxian,zhangxian,甘肃省,甘肃,定西市,定西,dingxishi,Dingxi,Gansu,
anhui,dangcheng town,anhui指安徽。dangcheng town指安徽阜阳的颍上县的一个镇，所属地级行政区是阜阳市，全称阜阳市，简称阜阳。颍上县是阜阳市辖县，全称颍上县，简称颍上，dangcheng town推断为颍上县的迪沟镇，全称迪沟镇，简称迪沟,安徽,阜阳市,阜阳,迪沟镇,迪沟,安徽拼音anhui，阜阳市拼音fuyangshi，阜阳拼音fuyang，迪沟镇拼音digouzhen，迪沟拼音digou,anhui,anhui,fuyangshi,fuyang,digouzhen,digou,安徽省,安徽,阜阳市,阜阳,fuyangshi,Fuyang,Anhui,
shaanxi,lüeyang,shaanxi指陕西。lüeyang可能是指陕西的略阳县，略阳县是县级行政区，所属地级行政区是汉中市，全称汉中市，简称汉中。略阳县的全称是略阳县，简称略阳，填充到区。,陕西,汉中市,汉中,略阳县,略阳,陕西拼音shanxi，汉中市拼音hanzhongshi，汉中拼音hanzhong，略阳县拼音lueyangxian，略阳拼音lueyang,shanxi,shanxi,hanzhongshi,hanzhong,lueyangxian,lueyang,陕西省,陕西,汉中市,汉中,hanzhongshi,Hanzhong,Shaanxi,
yunnan,xiaodongshan,yunnan指云南。xiaodongshan指云南的个旧市的小东山，所属地级行政区是红河哈尼族彝族自治州，全称红河哈尼族彝族自治州，简称红河。个旧市的全称是个旧市，简称个旧，填充到区。,云南,红河哈尼族彝族自治州,红河,个旧市,个旧,云南拼音yunnan，红河哈尼族彝族自治州拼音honghehanizuyizuzhizhou，红河拼音honghe，个旧市拼音gejiu shi，个旧拼音gejiu,yunnan,yunnan,honghehanizuyizuzhizhou,honghe,gejiu shi,gejiu,云南省,云南,红河哈尼族彝族自治州,红河,honghehanizuyizuzizhizhou,Honghe,Yunnan,
inner mongolia,holin gol,inner mongolia指内蒙古自治区。holin gol指内蒙古自治区呼伦贝尔市的陈巴尔虎旗，陈巴尔虎旗是县级行政区，所属地级行政区是呼伦贝尔市，全称呼伦贝尔市，简称呼伦贝尔。陈巴尔虎旗的全称是陈巴尔虎旗，简称陈巴尔虎，填充到区,内蒙古自治区,呼伦贝尔市,呼伦贝尔,陈巴尔虎旗,陈巴尔虎,内蒙古自治区拼音neimengguzizhiqu，呼伦贝尔市拼音hulunbeiershi，呼伦贝尔拼音hulunbeier，陈巴尔虎旗拼音chenbaerhuqi，陈巴尔虎拼音chenbaerhu,neimengguzizhiqu,inner mongolia,hulunbeiershi,hulunbeier,chenbaerhuqi,chenbaerhu,内蒙古自治区,内蒙古,呼伦贝尔市,呼伦贝尔,hulunbeiershi,Hulunbuir,Inner Mongolia,
zhejiang,xintang,zhejiang指浙江省。xintang指浙江省湖州市的新市镇，新市镇是镇，所属地级行政区是湖州市，全称湖州市，简称湖州。新市镇的全称是新市镇，简称新市，填充到区,浙江省,湖州市,湖州,新市镇,新市,浙江省拼音zhejiangsheng，湖州市拼音huzhoushi，湖州拼音huzhou，新市镇拼音xinshizhen，新市拼音xinshi,zhejiangsheng,zhejiangsheng,huzhoushi,huzhou,xinshizhen,xinshi,浙江省,浙江,湖州市,湖州,huzhoushi,Huzhou,Zhejiang,
guangdong,nanji,guangdong指广东。nanji指广东江门的恩平市那吉镇，所属地级行政是江门市，全称江门市，简称江门。那吉镇全称那吉镇，简称那吉，填充到区。,广东,江门市,江门,那吉镇,那吉,广东拼音guangdong，江门市拼音jiangmenshi，江门拼音jiangmen，那吉镇拼音najizhen，那吉拼音naj,guangdong,guangdong,jiangmenshi,jiangmen,najizhen,naj,广东省,广东,江门市,江门,jiangmenshi,Jiangmen,Guangdong,
jiangxi,wan an,jiangxi指江西。wan an指江西的万安县，万安县所属地级行政区是吉安市，全称吉安市，简称吉安。万安县全称万安县，简称万安，填充到区,江西,吉安市,吉安,万安县,万安,江西拼音jiangxi，吉安市拼音jianshi，吉安拼音jian，万安县拼音wananxian，万安拼音wanan,jiangxi,jiangxi,jianshi,jian,wananxian,wanan,江西省,江西,吉安市,吉安,jianshi,jian,Jiangxi,
shandong,nanshihuiyao,shandong指山东。nanshihuiyao指山东济南的南石会窑，所属地级行政是济南市，全称济南市，简称济南。南石会窑的全称是南石会窑，简称南石会窑,山东,济南市,济南,南石会窑,南石会窑,山东拼音shandong，济南市拼音jinanshi，济南拼音jinan，南石会窑拼音nanshihuiyao，南石会窑拼音nanshihuiyao,shandong,shandong,jinanshi,jinan,nanshihuiyao,nanshihuiyao,山东省,山东,济南市,济南,jinanshi,Jinan,Shandong,
shandong,xiangyang subdistrict,shandong指山东。xiangyang subdistrict指山东济南的向阳街道，所属地级行政是济南市，全称济南市，简称济南。向阳街道的全称是向阳街道，简称向阳,山东,济南市,济南,向阳街道,向阳,山东拼音shandong，济南市拼音jinanshi，济南拼音jinan，向阳街道拼音xiangyangjiedao，向阳拼音xiangyang,shandong,shandong,jinanshi,jinan,xiangyangjiedao,xiangyang,山东省,山东,济南市,济南,jinanshi,Jinan,Shandong,
xinjiang uygur,makit county,xinjiang uygur指新疆维吾尔自治区。makit county指新疆维吾尔自治区的麦盖提县，麦盖提县是县级行政区，所属地级行政区是喀什地区，全称喀什地区，简称喀什。麦盖提县的全称是麦盖提县，简称麦盖提，填充到区。,新疆维吾尔自治区,喀什地区,喀什,麦盖提县,麦盖提,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，喀什地区拼音kashi diqu，喀什拼音kashi，麦盖提县拼音maigaiti xian，麦盖提拼音maigaiti,xinjiangweiwuerzizhiqu,xinjiang,kashi diqu,kashi,maigaiti xian,maigaiti,新疆维吾尔自治区,新疆,喀什地区,喀什,kashidiqu,Kashgar,Xinjiang,
shanxi,gu county,shanxi是指山西。gu county指山西的古县，古县是县级行政区，所属地级行政区是临汾市，全称临汾市，简称临汾。古县的全称是古县，简称古县，填充到区。,山西,临汾市,临汾,古县,古县,山西拼音shanxi，临汾市拼音linfenshi，临汾拼音linfen，古县拼音guxian，古县拼音guxian,shanxi,shanxi,linfenshi,linfen,guxian,guxian,山西省,山西,临汾市,临汾,linfenshi,Linfen,Shanxi,
anhui,jin an district,anhui指安徽。jin an district指安徽六安的金安区，所属地级行政是六安市，全称六安市，简称六安。金安区全称金安区，简称金安,安徽,六安市,六安,金安区,金安,安徽拼音anhui，六安市拼音liuan shi，六安拼音liuan，金安区拼音jinanqu，金安拼音jinan,anhui,anhui,liuan shi,liuan,jinanqu,jinan,安徽省,安徽,六安市,六安,liuanshi,Luan,Anhui,
gansu,li county,gansu指甘肃。li county指甘肃的礼县，所属地级行政区是陇南市，全称陇南市，简称陇南。礼县全称礼县，简称礼，填充到区。,甘肃,陇南市,陇南,礼县,礼,甘肃拼音gansu，陇南市拼音longnanshi，陇南拼音longnan，礼县拼音lixian，礼拼音li,gansu,gansu,longnanshi,longnan,lixian,li,甘肃省,甘肃,陇南市,陇南,longnanshi,Longnan,Gansu,
henan,shaoling district,henan指河南。shaoling district指河南漯河的召陵区，所属地级行政是漯河市，全称漯河市，简称漯河。召陵区的全称是召陵区，简称召陵,河南,漯河市,漯河,召陵区,召陵,河南拼音henan，漯河市拼音luoheshì，漯河拼音luohe，召陵区拼音zhaolingqu，召陵拼音zhaoling,henan,henan,luoheshì,luohe,zhaolingqu,zhaoling,河南省,河南,漯河市,漯河,luoheshi,Luohe,Henan,
fujian,nanjing,fujian指福建。nanjing指福建南平的延平区，所属地级行政是南平市，全称南平市，简称南平。延平区的全称是延平区，简称延平,福建,南平市,南平,延平区,延平,福建拼音fujian，南平市拼音nanpingshi，南平拼音nanping，延平区拼音yanpingqu，延平拼音yanping,fujian,fujian,nanpingshi,nanping,yanpingqu,yanping,福建省,福建,南平市,南平,nanpingshi,Nanping,Fujian,
fujian,jin an district,fujian指福建。jin an district指福建泉州的晋安区，所属地级行政是泉州市，全称泉州市，简称泉州。晋安区全称晋安区，简称晋安,福建,泉州市,泉州,晋安区,晋安,福建拼音fujian，泉州市拼音quanzhoushi，泉州拼音quanzhou，晋安区拼音jinanqu，晋安拼音jinan,fujian,fujian,quanzhoushi,quanzhou,jinanqu,jinan,福建省,福建,泉州市,泉州,quanzhoushi,Quanzhou,Fujian,
tibet,chanang county,tibet指西藏自治区。chanang county指西藏的错那县，错那县是县级行政区，所属地级行政区是山南市，全称山南市，简称山南。错那县全称错那县，简称错那，填充到区。,西藏自治区,山南市,山南,错那县,错那,西藏自治区拼音xizangzizhiqu，山南市拼音shannanshi，山南拼音shannan，错那县拼音cuonaixian，错那拼音cuona,xizangzizhiqu,tibet,shannanshi,shannan,cuonaixian,cuona,西藏自治区,西藏,山南地区,山南,shannandiqu,Shannan,Tibet,
liaoning,hunnan district,liaoning指辽宁。hunnan district指辽宁的浑南区，浑南区所属地级行政区是沈阳市，全称沈阳市，简称沈阳。浑南区全称浑南区，简称浑南,辽宁,沈阳市,沈阳,浑南区,浑南,辽宁拼音liaoning，沈阳市拼音shenyangshi，沈阳拼音shenyang，浑南区拼音hunannanqu，浑南拼音hunnan,liaoning,liaoning,shenyangshi,shenyang,hunannanqu,hunnan,辽宁省,辽宁,沈阳市,沈阳,shenyangshi,Shenyang,Liaoning,
hebei,jingxing mining district,hebei指河北。jingxing mining district指河北的井陉矿区，井陉矿区是县级行政区，所属地级行政区是石家庄市，全称石家庄市，简称石家庄。井陉矿区全称井陉矿区，简称井陉矿区，填充到区。,河北,石家庄市,石家庄,井陉矿区,井陉矿区,河北拼音hebei，石家庄市拼音shijiazhuangshi，石家庄拼音shijiazhuang，井陉矿区拼音jingxingkuangqu，井陉矿区拼音jingxingkuangqu,hebei,hebei,shijiazhuangshi,shijiazhuang,jingxingkuangqu,jingxingkuangqu,河北省,河北,石家庄市,石家庄,shijiazhuangshi,Shijiazhuang,Hebei,
xinjiang uygur,hoboksar,xinjiang uygur指新疆维吾尔自治区。hoboksar指新疆维吾尔自治区的和布克赛尔蒙古自治县，所属地级行政区是塔城地区，全称塔城地区，简称塔城。和布克赛尔蒙古自治县的全称是和布克赛尔蒙古自治县，简称和布克赛尔,新疆维吾尔自治区,塔城地区,塔城,和布克赛尔蒙古自治县,和布克赛尔,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，塔城地区拼音tachengdiqu，塔城拼音tacheng，和布克赛尔蒙古自治县拼音hebukesaiermengguzizhixian，和布克赛尔拼音hebukesai'er,xinjiangweiwuerzizhiqu,xinjiang,tachengdiqu,tacheng,hebukesaiermengguzizhixian,hebukesai'er,新疆维吾尔自治区,新疆,塔城地区,塔城,tachengdiqu,Qoqek,Xinjiang,
xinjiang uygur,usu,xinjiang uygur指新疆维吾尔自治区。usu指新疆维吾尔自治区的乌苏市，乌苏市是县级市，所属地级行政区是塔城地区，全称塔城地区，简称塔城。乌苏市的全称是乌苏市，简称乌苏，填充到区,新疆维吾尔自治区,塔城地区,塔城,乌苏市,乌苏,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，塔城地区拼音tachengdiqu，塔城拼音tacheng，乌苏市拼音wusushi，乌苏拼音wusu,xinjiangweiwuerzizhiqu,xinjiang,tachengdiqu,tacheng,wusushi,wusu,新疆维吾尔自治区,新疆,塔城地区,塔城,tachengdiqu,Qoqek,Xinjiang,
jiangsu,shuangta district,jiangsu指江苏。shuangta district指江苏泰州的双塔楼区，所属地级行政是泰州市，全称泰州市，简称泰州。双塔楼区全称双塔楼区，简称双塔楼,江苏,泰州市,泰州,双塔楼区,双塔楼,江苏拼音jiangs u，泰州市拼音taizhoushi，泰州拼音taizhou，双塔楼区的双拼音shuang，楼拼音lou，塔拼音ta，区拼音qu，所以双塔楼区拼音shuangloutaqu，双塔楼拼音shuanglouta,jiangs u,jiangsu,taizhoushi,taizhou,shuangloutaqu,shuanglouta,江苏省,江苏,泰州市,泰州,taizhoushi,Taizhou,Jiangsu,
tianjin,wanghailou subdistrict,tianjin指天津。wanghailou subdistrict指天津的王顶堤街，所属地级行政区是天津市，全称天津市，简称天津。王顶堤街的全称是王顶堤街，简称王顶堤,天津,天津市,天津,王顶堤街,王顶堤,天津拼音tianjin，天津市拼音tianjinshi，天津拼音tianjin，王顶堤街拼音wangdingdijie，王顶堤拼音wangdingdi,tianjin,tianjin,tianjinshi,tianjin,wangdingdijie,wangdingdi,天津市,天津,天津市,天津,tianjinshi,Tianjin,Tianjin,
tianjin,zhangguizhuang subdistrict,tianjin指天津。zhangguizhuang subdistrict指天津的张贵庄街道，所属地级行政区是天津市，全称天津市，简称天津。张贵庄街道所在的区是东丽区，全称东丽区，简称东丽,天津,天津市,天津,东丽区,东丽,天津拼音tianjin，天津市拼音tianjinshi，天津拼音tianjin，东丽区拼音dongliqu，东丽拼音dongli,tianjin,tianjin,tianjinshi,tianjin,dongliqu,dongli,天津市,天津,天津市,天津,tianjinshi,Tianjin,Tianjin,
tianjin,xiaodian village,tianjin指天津。xiaodian village指天津北辰区的小淀镇，所属地级行政是天津市，全称天津市，简称天津。小淀镇全称小淀镇，简称小淀，填充到区。,天津,天津市,天津,小淀镇,小淀,天津拼音tianjin，天津市拼音tianjinshi，天津拼音tianjin，小淀镇拼音xiaodianzhen，小淀拼音xiaodian,tianjin,tianjin,tianjinshi,tianjin,xiaodianzhen,xiaodian,天津市,天津,天津市,天津,tianjinshi,Tianjin,Tianjin,
zhejiang,jinxiang,zhejiang指浙江。jinxiang指浙江温州的苍南县金乡镇，所属地级行政是温州市，全称温州市，简称温州。金乡镇全称金乡镇，简称金乡，填充到区。,浙江,温州市,温州,金乡镇,金乡,浙江拼音zhejiang，温州市拼音wenzhoushi，温州拼音wenzhou，金乡镇拼音jinxiangzhen，金乡拼音jinxiang,zhejiang,zhejiang,wenzhoushi,wenzhou,jinxiangzhen,jinxiang,浙江省,浙江,温州市,温州,wenzhoushi,Wenzhou,Zhejiang,
xinjiang uygur,ürümqi county,xinjiang uygur指新疆维吾尔自治区。ürümqi county指新疆维吾尔自治区的乌鲁木齐县，乌鲁木齐县是县级行政区，所属地级行政区是乌鲁木齐市，全称乌鲁木齐市，简称乌市。乌鲁木齐县的全称是乌鲁木齐县，简称乌鲁木齐县，填充到区。,新疆维吾尔自治区,乌鲁木齐市,乌市,乌鲁木齐县,乌鲁木齐县,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，乌鲁木齐市拼音wulumuqishi，乌市拼音wushi，乌鲁木齐县拼音wulumuqi xian，乌鲁木齐县拼音wulumuqi xian,xinjiangweiwuerzizhiqu,xinjiang,wulumuqishi,wushi,wulumuqi xian,wulumuqi xian,新疆维吾尔自治区,新疆,乌鲁木齐市,乌鲁木齐,wulumuqishi,Urumqi,Xinjiang,
shaanxi,guodu town,shaanxi指陕西。guodu town指陕西的郭杜镇，所属地级行政区是西安市，全称西安市，简称西安。郭杜镇所属的区是长安区，全称长安区，简称长安，填充到区。,陕西,西安市,西安,长安区,长安,陕西拼音shanxi，西安市拼音xianshi，西安拼音xian，长安区拼音changanqu，长安拼音changan,shanxi,shanxi,xianshi,xian,changanqu,changan,陕西省,陕西,西安市,西安,xianshi,Xian,Shaanxi,
shaanxi,yuhuazhai subdistrict,shaanxi指陕西。yuhuazhai subdistrict指陕西西安的雨花寨街道，所属地级行政是西安市，全称西安市，简称西安。雨花寨街道的全称是雨花寨街道，简称雨花寨,陕西,西安市,西安,雨花寨街道,雨花寨,陕西拼音shanxi，西安市拼音xian，西安拼音xian，雨花寨街道拼音yuhuazhaijiedao，雨花寨拼音yuhuazhai,shanxi,shanxi,xian,xian,yuhuazhaijiedao,yuhuazhai,陕西省,陕西,西安市,西安,xianshi,Xian,Shaanxi,
inner mongolia,ulanhot,inner mongolia指内蒙古自治区。ulanhot指内蒙古自治区乌兰浩特市，乌兰浩特市是县级市，所属地级行政区是兴安盟，全称兴安盟，简称兴安。乌兰浩特市的全称是乌兰浩特市，简称乌兰浩特，填充到区,内蒙古自治区,兴安盟,兴安,乌兰浩特市,乌兰浩特,内蒙古自治区拼音neimengguzizhiqu，兴安盟拼音xinganmeng，兴安拼音xingan，乌兰浩特市拼音wulanhaoteshi，乌兰浩特拼音wulanhaote,neimengguzizhiqu,inner mongolia,xinganmeng,xingan,wulanhaoteshi,wulanhaote,内蒙古自治区,内蒙古,兴安盟,兴安盟,xinganmeng,Hinggan,Inner Mongolia,
inner mongolia,altan xire,inner mongolia是指内蒙古自治区。altan xire指内蒙古自治区的阿尔山市，阿尔山市是县级市，所属地级行政区是兴安盟，全称兴安盟，简称兴安。阿尔山市的全称是阿尔山市，简称阿尔山，填充到区。,内蒙古自治区,兴安盟,兴安,阿尔山市,阿尔山,内蒙古自治区拼音neimengguzizhiqu，兴安盟拼音xinganmeng，兴安拼音xingan，阿尔山市拼音aershanshi，阿尔山拼音aershan,neimengguzizhiqu,inner mongolia,xinganmeng,xingan,aershanshi,aershan,内蒙古自治区,内蒙古,兴安盟,兴安盟,xinganmeng,Hinggan,Inner Mongolia,
inner mongolia,arxan,inner mongolia指内蒙古。arxan指内蒙古的阿尔山市，阿尔山市是县级市，所属地级行政区是兴安盟，全称兴安盟，简称兴安。阿尔山市的全称是阿尔山市，简称阿尔山，填充到区。,内蒙古,兴安盟,兴安,阿尔山市,阿尔山,内蒙古拼音neimenggu，兴安盟拼音xinganmeng，兴安拼音xingan，阿尔山市拼音aershanshi，阿尔山拼音aershan,neimenggu,inner mongolia,xinganmeng,xingan,aershanshi,aershan,内蒙古自治区,内蒙古,兴安盟,兴安盟,xinganmeng,Hinggan,Inner Mongolia,
xinjiang uygur,qapqal xibe autonomous county,xinjiang uygur是指新疆维吾尔自治区。qapqal xibe autonomous county指新疆维吾尔自治区的察布查尔锡伯自治县，察布查尔锡伯自治县是县级行政区，所属地级行政区是伊犁哈萨克自治州，全称伊犁哈萨克自治州，简称伊犁。察布查尔锡伯自治县的全称是察布查尔锡伯自治县，简称察布查尔，填充到区。,新疆维吾尔自治区,伊犁哈萨克自治州,伊犁,察布查尔锡伯自治县,察布查尔,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，伊犁哈萨克自治州拼音yilihasakezizhizhou，伊犁拼音yili，察布查尔锡伯自治县拼音chabuchaerxiboziyixian，察布查尔拼音chabuchaer,xinjiangweiwuerzizhiqu,xinjiang,yilihasakezizhizhou,yili,chabuchaerxiboziyixian,chabuchaer,新疆维吾尔自治区,新疆,伊犁哈萨克自治州,伊犁,yilihasakezizhizhou,Ili,Xinjiang,
hunan,wenxing subdistrict,hunan指湖南。wenxing subdistrict指湖南株洲的文星街道，所属地级行政是株洲市，全称株洲市，简称株洲。文星街道所属区为天元区，全称天元区，简称天元,湖南,株洲市,株洲,天元区,天元,湖南拼音hunan，株洲市拼音zhuzhoushi，株洲拼音zhuzhou，天元区拼音tianyuanqu，天元拼音tianyuan,hunan,hunan,zhuzhoushi,zhuzhou,tianyuanqu,tianyuan,湖南省,湖南,株洲市,株洲,zhuzhoushi,Zhuzhou,Hunan,
sichuan,barkam,sichuan指四川，符合格式无需修改。barkam指四川的马尔康市，马尔康市是县级市，所属地级行政区是阿坝藏族羌族自治州，全称阿坝藏族羌族自治州，简称阿坝。马尔康市全称马尔康市，简称马尔康。,四川,阿坝藏族羌族自治州,阿坝,马尔康市,马尔康,四川拼音sichuan，阿坝藏族羌族自治州拼音abazangzuqiangzuzizhizhou，阿坝拼音aba，马尔康市拼音makekangs hi，马尔康拼音makekang,sichuan,sichuan,abazangzuqiangzuzizhizhou,aba,makekangs hi,makekang,四川省,四川,阿坝藏族羌族自治州,阿坝,abacangzuqiangzuzizhizhou,Aba,Sichuan,
xinjiang uygur,xayar,xinjiang uygur指新疆维吾尔自治区，无需修改。xayar指新疆的沙雅县，沙雅县所属地级行政区是阿克苏地区，全称阿克苏地区，简称阿克苏。沙雅县全称沙雅县，简称沙雅，填充到区。,新疆维吾尔自治区,阿克苏地区,阿克苏,沙雅县,沙雅,,xinjiangweiwuerzizhiqu,xinjiang,akesudiqu,akesu,shayaxian,shaya,新疆维吾尔自治区,新疆,阿克苏地区,阿克苏,akesudiqu,Aksu,Xinjiang,
inner mongolia,bayan hot,inner mongolia指内蒙古自治区，无需修改。bayan hot指内蒙古的巴彦浩特镇，所属地级行政区是阿拉善盟，全称阿拉善盟，简称阿拉善。巴彦浩特镇所在的阿拉善左旗，全称阿拉善左旗，简称阿左旗，填充到区。,内蒙古自治区,阿拉善盟,阿拉善,阿拉善左旗,阿左旗,内蒙古自治区拼音neimengguzizhiqu，阿拉善盟拼音alashanmeng，阿拉善拼音alashan，阿拉善左旗拼音alashanzuoqi，阿左旗拼音azuoqi,neimengguzizhiqu,inner mongolia,alashanmeng,alashan,alashanzuoqi,azuoqi,内蒙古自治区,内蒙古,阿拉善盟,阿拉善盟,alashanmeng,Alxa,Inner Mongolia,
inner mongolia,alxa left banner,inner mongolia指内蒙古自治区，全称应改为内蒙古自治区，简称内蒙古。alxa left banner指内蒙古的阿拉善左旗，所属地级行政是阿拉善盟，全称阿拉善盟，简称阿拉善。阿拉善左旗全称阿拉善左旗，简称阿左旗,内蒙古自治区,阿拉善盟,阿拉善,阿拉善左旗,阿左旗,,neimengguzizhiqu,inner mongolia,alashanmeng,alashan,alashanzuoqi,azuoqi,内蒙古自治区,内蒙古,阿拉善盟,阿拉善盟,alashanmeng,Alxa,Inner Mongolia,
inner mongolia,ejin qi,inner mongolia指内蒙古自治区，无需修改。ejin qi指内蒙古自治区的额济纳旗，额济纳旗是县级行政区，所属地级行政区是阿拉善盟，全称阿拉善盟，简称阿盟。额济纳旗全称额济纳旗，简称额济纳，填充到区。,内蒙古自治区,阿拉善盟,阿盟,额济纳旗,额济纳,,nei meng gu zi zhi qu,inner mongolia,a la shan meng,a meng,e ji na qi,e ji na,内蒙古自治区,内蒙古,阿拉善盟,阿拉善盟,alashanmeng,Alxa,Inner Mongolia,
